Kommun,ratio
1264,0.0008454351879163841
1265,0.0009119766436621587
1266,0.0009845309660616824
1267,0.0009072025743273818
1270,0.0008717223630444513
1272,0.006623727155191301
1273,0.0008164514389507561
1275,0.0016788677404100149
1276,0.0016815661827758997
1277,0.0010099551182633833
1278,0.0010216443799262443
1280,0.017303135570515767
1281,0.00628449051983331
1282,0.0036163184421582977
1283,0.010679680861127415
1284,0.0023911171399773135
1285,0.003197061736361989
1286,0.0019434172145262997
1287,0.002399558439467469
1290,0.005866792468498485
1291,0.0017191679437046103
1292,0.00260106268274513
1293,0.003561032196132345
1315,0.004179310711901342
1380,0.007645594218520565
1381,0.0017515577323391626
1382,0.0035340229354200794
1383,0.0132169577721392
1384,0.0035908946133557298
1401,0.0018663123726993624
1402,0.001705129949125013
1407,0.0005550838889042149
1415,0.017403889923608615
1419,0.0008836963237440773
1421,0.0009279606961180031
1427,0.0007795344936528251
1430,0.0016744646150141267
1435,0.0012157417481806147
1438,0.0003124537540388367
1439,0.0003582051587462542
1440,0.0019530790664910056
1441,0.0014127149252587108
1442,0.0007486531823076074
1443,0.0004409495434810984
1444,0.00038382360196042366
1445,0.0004231367192345807
1446,0.00044640464005681117
1447,0.0006910403762254762
1452,0.0016084750681221013
1460,0.00231422091112445
1461,0.0006386197791571527
1462,0.0015044299994911626
1463,0.001795582616875119
1465,0.0006421943559742541
1466,0.0005970714451419398
1470,0.0013651907758637533
1471,0.0019858548848640033
1472,0.0006253616467001967
1473,0.0007561421000976204
1480,0.04934517032891644
1481,0.0036294738661305998
1482,0.0024540680101355706
1484,0.017616389395529737
1485,0.0039297783843263625
1486,0.0011094231692712793
1487,0.004269780282646133
1488,0.003140101317704239
1489,0.002383621718271403
1490,0.0066403899721208135
1491,0.0018089221843137601
1492,0.0007984401195030406
1493,0.002448369199973217
1494,0.0031780555693146422
1495,0.0014893625320447597
1496,0.005787594291803462
1497,0.000568133511053489
1498,0.0008165651317126296
1499,0.0024481539455102814
1715,0.0007897876834989103
1730,0.0012329996195148771
1737,0.0014149974044730634
1760,0.00024570992948891557
1761,0.008903792035882893
1762,0.0003856669564853362
1763,0.0005105740134684457
1764,0.01116290988246364
1765,0.0010569411315010024
1766,0.0021268957147549125
1780,0.0075343290650722455
1781,0.004802880080606364
1782,0.0011670175939626883
1783,0.0018770603118857662
1784,0.0021563299515261845
1785,0.0018376007666708269
1814,0.00046261696199403294
1860,0.0008577946403825652
1861,0.0015458202590901493
1862,0.0010936236483607338
1863,0.0008260234783562356
1864,0.0005660204929848369
1880,0.009031450301650427
1881,0.0015300342850099536
1882,0.004370258927198114
1883,0.002888034830416292
1884,0.0006513713145722187
1885,0.007717364709714754
1904,0.00035438508194730113
1907,0.0011195146595508565
1960,0.0005002038824958619
1961,0.0012422459241269357
1962,0.0005933374787521377
1980,0.01068069230988254
1981,0.0014328562232629432
1982,0.0014620693700135908
1983,0.0030880105138317905
1984,0.0012365763492462067
2021,0.0007778599226754294
2023,0.0018171956827737644
2026,0.0008365355671749186
2029,0.0013889168095245195
2031,0.0014297478257827526
2034,0.0004719458411847216
