hour,value
2150,7.384685298795728e-05
2151,7.384685298795728e-05
2152,7.384685298795728e-05
2153,7.384685298795728e-05
2154,7.384685298795728e-05
2155,7.384685298795728e-05
2156,7.384685298795728e-05
2157,7.384685298795728e-05
2158,7.384685298795728e-05
2159,7.384685298795728e-05
2160,7.384685298795728e-05
2161,7.384685298795728e-05
2162,7.384685298795728e-05
2163,7.384685298795728e-05
2164,7.384685298795728e-05
2165,7.384685298795728e-05
2166,7.384685298795728e-05
2167,7.384685298795728e-05
2168,7.384685298795728e-05
2169,7.384685298795728e-05
2170,7.384685298795728e-05
2171,7.384685298795728e-05
2172,7.384685298795728e-05
2173,7.384685298795728e-05
2174,7.384685298795728e-05
2175,7.384685298795728e-05
2176,7.384685298795728e-05
2177,7.384685298795728e-05
2178,7.384685298795728e-05
2179,7.384685298795728e-05
2180,7.384685298795728e-05
2181,7.384685298795728e-05
2182,7.384685298795728e-05
2183,7.384685298795728e-05
2184,7.384685298795728e-05
2185,7.384685298795728e-05
2186,7.384685298795728e-05
2187,7.384685298795728e-05
2188,7.384685298795728e-05
2189,7.384685298795728e-05
2190,7.384685298795728e-05
2191,7.384685298795728e-05
2192,7.384685298795728e-05
2193,7.384685298795728e-05
2194,7.384685298795728e-05
2195,7.384685298795728e-05
2196,7.384685298795728e-05
2197,7.384685298795728e-05
2198,7.384685298795728e-05
2199,7.384685298795728e-05
2200,7.384685298795728e-05
2201,7.384685298795728e-05
2202,7.384685298795728e-05
2203,7.384685298795728e-05
2204,7.384685298795728e-05
2205,7.384685298795728e-05
2206,7.384685298795728e-05
2207,7.384685298795728e-05
2208,7.384685298795728e-05
2209,7.384685298795728e-05
2210,7.384685298795728e-05
2211,7.384685298795728e-05
2212,7.384685298795728e-05
2213,7.384685298795728e-05
2214,7.384685298795728e-05
2215,7.384685298795728e-05
2216,7.384685298795728e-05
2217,7.384685298795728e-05
2218,7.384685298795728e-05
2219,7.384685298795728e-05
2220,7.384685298795728e-05
2221,7.384685298795728e-05
2222,7.384685298795728e-05
2223,7.384685298795728e-05
2224,7.384685298795728e-05
2225,7.384685298795728e-05
2226,7.384685298795728e-05
2227,7.384685298795728e-05
2228,7.384685298795728e-05
2229,7.384685298795728e-05
2230,7.384685298795728e-05
2231,7.384685298795728e-05
2232,7.384685298795728e-05
2233,7.384685298795728e-05
2234,7.384685298795728e-05
2235,7.384685298795728e-05
2236,7.384685298795728e-05
2237,7.384685298795728e-05
2238,7.384685298795728e-05
2239,7.384685298795728e-05
2240,7.384685298795728e-05
2241,7.384685298795728e-05
2242,7.384685298795728e-05
2243,7.384685298795728e-05
2244,7.384685298795728e-05
2245,7.384685298795728e-05
2246,7.384685298795728e-05
2247,7.384685298795728e-05
2248,7.384685298795728e-05
2249,7.384685298795728e-05
2250,7.384685298795728e-05
2251,7.384685298795728e-05
2252,7.384685298795728e-05
2253,7.384685298795728e-05
2254,7.384685298795728e-05
2255,7.384685298795728e-05
2256,7.384685298795728e-05
2257,7.384685298795728e-05
2258,7.384685298795728e-05
2259,7.384685298795728e-05
2260,7.384685298795728e-05
2261,7.384685298795728e-05
2262,7.384685298795728e-05
2263,7.384685298795728e-05
2264,7.384685298795728e-05
