hour,value
596,0.0001265303136961818
597,0.00012800771490723706
598,0.00012422611724275157
599,0.00012648910600998034
600,0.00012106976697082247
601,0.0001197505927087073
602,0.00011530465318014099
603,0.00011169158438614599
604,0.00011675167693021445
605,0.00012238920538477224
606,0.00015587282778994942
607,0.00017982268217985628
608,0.0001914324194634412
609,0.00019074086996039404
610,0.00018716663148608885
611,0.00017448179623558187
612,0.00017362620844323286
613,0.00016808985014133627
614,0.00016065476845215823
615,0.00014496362117178888
616,0.00013139229236428182
617,0.00012014946197899041
618,0.00011080509082914589
619,0.00010173279606896466
620,9.578251184221137e-05
621,9.698096871590309e-05
622,9.258416142857695e-05
623,9.705968596262123e-05
624,8.328311117961084e-05
625,8.049023383212515e-05
626,7.834373602396582e-05
627,7.326013396661577e-05
628,7.500010210128788e-05
629,7.504236639482781e-05
630,7.947457002799364e-05
631,8.057740393755127e-05
632,8.00316662472169e-05
633,8.033042197217729e-05
634,8.09548769092298e-05
635,7.396594766873265e-05
636,6.815672052166888e-05
637,6.521354078028179e-05
638,6.315764705139869e-05
639,5.8320762807588e-05
640,5.88205380786977e-05
641,5.370972838238132e-05
642,4.690834694446762e-05
643,4.449056520214883e-05
644,4.180070707016673e-05
645,4.2059575868098824e-05
646,4.364897745703492e-05
647,4.430380985506926e-05
648,4.4774528424370255e-05
649,4.608075924658881e-05
650,4.689276198622477e-05
651,4.446230095584401e-05
652,4.794038816234586e-05
653,5.2890329391375866e-05
654,5.954299334639593e-05
655,6.180281229160922e-05
656,6.739966136363483e-05
657,6.959317819835734e-05
658,7.211767728186445e-05
659,7.019993496249e-05
660,7.163480772817072e-05
661,7.56882176304849e-05
662,8.041045997806854e-05
663,8.273261875625322e-05
664,8.62014606485432e-05
665,8.889158293235995e-05
666,9.030822922145157e-05
667,9.100532591302584e-05
668,9.70681388213292e-05
669,9.852414373377989e-05
670,0.00010785689220290095
671,0.00011199720805880661
672,0.00011156003677250294
673,0.00011858647557351678
674,0.00011789915249982362
675,0.00011658235560422009
676,0.0001180956814647843
677,0.00012898771821369425
678,0.00016389802467767881
679,0.00019474910989898743
680,0.00021303185082885854
681,0.00021391860853769323
682,0.00021288735977531887
683,0.00020726330306432693
684,0.00020208407804284278
685,0.00019984829691458033
686,0.0001937696348961995
687,0.00018006781508238788
688,0.00017476998588715728
689,0.00015766245646953097
690,0.00014583373731504224
691,0.00013666053655403445
692,0.0001363179316245264
693,0.00013358475259166584
694,0.00013169474621492694
695,0.00012945421035364126
696,0.00012693393769948815
697,0.0001245523447585129
698,0.00012483789289174208
699,0.000120338330540747
700,0.00012557804633236017
701,0.00013328837423321705
702,0.0001655172754239275
703,0.00019281049958467763
704,0.00020689296219218327
705,0.00020789858822659906
706,0.00020498842746454003
707,0.00019802512095200148
708,0.00019586647215944942
709,0.0001955579428166079
710,0.0001942641271306167
711,0.0001884276923445866
712,0.00017235193999300388
713,0.00015586569569041455
714,0.00014884163425591236
715,0.00014441048723008503
716,0.00013875526060260737
717,0.00013933269651309672
718,0.0001379530314808525
719,0.0001342440755708888
720,0.0001293707383738999
721,0.00012782069540832286
722,0.0001243521176678675
723,0.0001208713889430194
724,0.0001275932606787111
725,0.0001383859763378022
726,0.00017323262220964223
727,0.00019939263499985292
728,0.00021182995998131668
729,0.00021040248346700547
730,0.00020568446754877582
731,0.00019391095612772364
732,0.00018899297727068318
733,0.00019376197449299536
734,0.00019617579395779478
735,0.00018699704600825986
736,0.0001800070601604242
737,0.00016404964783075333
738,0.00015284036472845925
739,0.00014360614489365315
740,0.0001433065967131889
741,0.00014142345828415024
742,0.00014014971813759052
743,0.00013782201217087874
744,0.00013338716701936663
745,0.00013218712523466717
746,0.0001294428518247524
747,0.00012660718188005753
748,0.00013269746657916187
749,0.00014029394503929554
750,0.00017292356456313147
751,0.00020314121368501036
752,0.00021361139995402484
753,0.0002146212524177946
754,0.00020792421095455765
755,0.0002001916942995923
756,0.00019757711944047817
757,0.00018976641384246397
758,0.0001889884866894946
759,0.00018563719236361253
760,0.00017660082225294025
761,0.00016101058097339752
762,0.00015301047850995746
763,0.00014628702186325805
764,0.00014300519946988227
765,0.00014344052169334355
766,0.00014000443462854702
767,0.00013842084437997267
768,0.00013032221328221764
769,0.00013257595673523456
770,0.00012471479813680705
771,0.00011571673004215534
772,0.00012322788745970528
773,0.0001284668107958146
774,0.0001597162369837371
775,0.00018812286112742982
776,0.0002012868678059458
777,0.00019865248155923485
778,0.00019824489527840914
779,0.0001878140676327537
780,0.00018501669970407938
781,0.00018491922767710294
782,0.00017273892243072889
783,0.0001565839245287588
784,0.00014379184363339423
785,0.00012947745571508825
786,0.0001193604404489668
787,0.00011450057499554376
788,0.00011130750761860184
789,0.0001070171535206294
790,0.00010589001764228632
791,0.00010077815133863144
792,9.351450419012472e-05
793,9.27083127908505e-05
794,9.035207842599925e-05
795,8.291409106664031e-05
796,7.887362460422273e-05
797,8.117465123563744e-05
798,8.537096728048354e-05
799,8.860709140646927e-05
800,8.130302902726498e-05
801,7.81897355043797e-05
802,7.678154207399605e-05
803,6.417938634772657e-05
804,5.900465190743103e-05
805,5.6460605588161694e-05
806,5.765721339901105e-05
807,5.723457046361172e-05
808,5.695324875973654e-05
809,5.436376832491178e-05
810,5.312727358703412e-05
811,5.2646781399852006e-05
812,5.391338944687687e-05
813,5.1434060327090555e-05
814,5.246055435644168e-05
815,4.996616858208176e-05
816,5.023745251624121e-05
817,5.416803181545497e-05
818,5.2892970909722114e-05
819,4.827454023314595e-05
820,5.1175719832827714e-05
821,5.262908322693216e-05
822,5.791370483043151e-05
823,6.51070875909281e-05
824,6.92069882161362e-05
825,6.930393193944342e-05
826,7.671074938231666e-05
827,7.44931947306433e-05
828,7.870060515254362e-05
829,7.513112141126167e-05
830,7.37192298551933e-05
831,7.481493166521605e-05
832,8.057581902654352e-05
833,8.042366756979977e-05
834,8.139574632121822e-05
835,8.266050530540071e-05
836,9.131728922971747e-05
837,9.557673756303882e-05
838,0.00010471269291536457
839,0.00010824149727411434
840,0.0001099991635817063
841,0.00010841346011845493
842,0.00010746462672848344
843,0.00010844225266842902
844,0.00011066165638294474
845,0.00011894572206860621
846,0.00015350338583336695
847,0.0001837036009341606
848,0.00020216226698589165
849,0.00020365366824418203
850,0.00020545042902329842
851,0.00019452907142074517
852,0.0001924457059010611
853,0.0001941523909045705
854,0.00019497258235107984
855,0.00018570613599244953
856,0.0001721276750854076
857,0.00015708739792555328
858,0.000146291248292612
859,0.00013765480405956138
860,0.00013553974031972236
861,0.00013402694276282737
862,0.00013396645199269835
863,0.00013230784262309062
864,0.00012932081367715586
865,0.00012942304043715556
866,0.00012485559106466195
867,0.0001266370310373701
868,0.00013216520063239333
869,0.00013774461568333374
870,0.00017069782120458476
871,0.00019596183097174888
872,0.00020859198679248857
873,0.0002121139232035381
874,0.00021527502820849046
875,0.00020382246126650716
876,0.00020172351078858025
877,0.00020239181493018042
878,0.0002024723812397409
879,0.00019193272303822016
880,0.00017448364529842425
881,0.00016173594191127663
882,0.00014810914121849838
883,0.00014380135309944073
884,0.00013900752560467382
885,0.0001336521113094951
886,0.0001329774675238639
887,0.00013336709147993518
888,0.0001290376429104383
889,0.00012651182306775807
890,0.00012815035689793433
891,0.00012306094350022253
892,0.0001254665742581486
893,0.00013226188020386593
894,0.00016833630380304102
895,0.00020199479472273967
896,0.00021647639075236304
897,0.00021559068965086684
898,0.00021071339017635858
899,0.00020612137468324485
900,0.0002040559714883153
901,0.00020460619975983828
902,0.00019817463089039897
903,0.0001892595064718194
904,0.0001795585303452317
905,0.00016084099549556853
906,0.0001477554419119361
907,0.00014246025423505173
908,0.00014037636041169842
909,0.0001398990380465318
910,0.00013419969806267187
911,0.00013706865113852942
912,0.00013149478327611615
913,0.00013087217740190602
914,0.00012617635023778485
915,0.00011978546075087774
916,0.00012770235538641105
917,0.00013515407864117047
918,0.00016440757356666962
919,0.0001941059001816766
920,0.00020608545003373595
921,0.0002142567228860127
922,0.00021078497532354184
923,0.00019848342438507513
924,0.00019850983956853758
925,0.0001971344009656474
926,0.00019552175401526433
927,0.00018690776268815676
928,0.00017514481734048958
929,0.0001664198822428397
930,0.0001491549183317771
931,0.00014567524621426748
932,0.0001411630045752104
933,0.0001425112355391343
934,0.00013736793516715907
935,0.00013654325313946114
936,0.00013073059201854724
937,0.00013048545911601564
938,0.0001305345913572558
939,0.00012650812494207332
940,0.00013044266651880644
941,0.00013470369976313555
942,0.00016801430271663363
943,0.00019640666266125667
944,0.00021575419963649944
945,0.00021228826341439033
946,0.00020750975672603167
947,0.00019844168839520447
948,0.00019716583503396774
949,0.00018990482940380723
950,0.00018022657033499724
951,0.00016763286746743574
952,0.00015528746732442134
953,0.00014213455502295962
954,0.0001321060306214374
955,0.00012279335769174786
956,0.00011748918885248626
957,0.00011612510877848493
958,0.00011519423771326792
959,0.00011225317118655783
960,0.00010013018688829734
961,9.685259092427555e-05
962,9.180015878341119e-05
963,8.555693017205923e-05
964,8.468998385082136e-05
965,8.325194126312513e-05
966,8.226665491997547e-05
967,8.291409106664031e-05
968,8.547847707717574e-05
969,8.279865671490936e-05
970,8.236254203594419e-05
971,7.418915596899041e-05
972,6.554531548457027e-05
973,6.702509406213716e-05
974,7.022159541292922e-05
975,6.579203329810963e-05
976,6.316662821377592e-05
977,6.350474256209538e-05
978,6.075492196365351e-05
979,5.619090656501e-05
980,5.7634496341233336e-05
981,5.704940002753989e-05
982,5.587075454144501e-05
983,5.5878943248318377e-05
984,5.5286978986924695e-05
985,5.8672084747638686e-05
986,5.735872182588527e-05
987,5.557147051281536e-05
988,5.767517572376552e-05
989,6.284357052003006e-05
990,6.55606362909785e-05
991,6.881234537520708e-05
992,7.199379007142552e-05
993,7.78825269207113e-05
994,7.823384886076199e-05
995,7.552893407420629e-05
996,7.9254795701586e-05
997,8.096227316059929e-05
998,8.178378536628173e-05
999,8.172778517734132e-05
1000,8.050555463853339e-05
1001,8.449979452989166e-05
1002,8.247216504731339e-05
1003,8.420315201960827e-05
1004,8.767331467107137e-05
1005,9.137434602599637e-05
1006,0.00010032116866473092
1007,0.00010592937626564539
1008,0.00010653111414492017
1009,0.00011275004078748667
1010,0.00010923893460165675
1011,0.00011496706713549077
1012,0.00012216388386983746
1013,0.00013108851775446353
